Name,"Keyword Preview",Location,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
bg_topleft.bmp,".7*6FTcv
vdN9&
7.4DQi}
«sdK«:$
7+4BOiz{
zaP:&
7+6BRcm","/img_var1.E01/vol_vol2/WINDOWS/$NtServicePackUninstall$/compact.wmz/bg_topleft.bmp","2004-07-17 12:44:26 MSD","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",5766,Allocated,Allocated,unknown,"6af389bde80cf568e7c1166c90b34929","f076a53c9a4ab1c5918af825ed40961feb0e57b55bec5e5c9e65641574b64219",image/bmp,bmp
update.exe,"F79E
SVW`
SVW3
u }%
_^][
«Sdk«#SO
Z0Oi
L00/
iN|?
j<j5
_^][","/img_var1.E01/vol_vol2/WINDOWS/SoftwareDistribution/Download/1201b6f74bae1015eceeea43baed9814/update/update.exe","2007-11-30 15:39:18 MSK","2008-10-30 05:11:47 MSK","2008-10-30 14:01:49 MSK","2008-10-30 05:11:33 MSK",755576,Allocated,Allocated,unknown,"0ff4e4e0dd01e7872d9c2013560fd4a7","fadc30d8a636762c424ff4f49d528f22d59c46c20c24c5c4b73badb4deb5e8a1",application/x-dosexec,exe
"VAssert SDK","vassert «sdk«","/img_var1.E01/vol_vol2/Program Files/VMware/VMware Tools/VAssert SDK","2008-10-21 02:00:13 MSD","2008-10-21 02:00:13 MSD","2008-10-21 02:00:13 MSD","2008-10-21 02:00:13 MSD",424,Allocated,Allocated,unknown,,,,
msmqconw.chm,"Software Development Kit («SDK«). For more information on","/img_var1.E01/vol_vol2/WINDOWS/SoftwareDistribution/Download/cf8ec753e88561d2ddb53e183dc05c3e/msmqconw.chm","2004-08-04 16:00:00 MSD","2008-10-21 03:43:17 MSD","2008-10-21 04:59:46 MSD","2008-10-21 03:26:52 MSD",488023,Allocated,Allocated,unknown,"c211a3d9333d49487b31276be8f77420","dd30248ecf58aa51f443e93e47c4001ce0ee3e39eb16e8f43ee9fd2c64600bb1","application/vnd.ms-htmlhelp",chm
msmqocm.dll,"for the MSMQ 1.0 «SDK« debug folder:
\«sdk«\debug
Setting","/img_var1.E01/vol_vol2/WINDOWS/SoftwareDistribution/Download/cf8ec753e88561d2ddb53e183dc05c3e/msmqocm.dll","2008-04-14 04:12:00 MSD","2008-10-21 03:43:17 MSD","2008-10-21 05:00:33 MSD","2008-04-14 04:12:00 MSD",170496,Allocated,Allocated,unknown,"44f429a5f40afe9e5218393aa2d7d820","1aff59e091051ef58ba586106cd9bcd5ad8d4f428ec69b185d48115a8a349dc8",application/x-msdownload,dll
MSGR3ES.DLL,"cK?AcK?PcK?lcK?
dK?CdK?«SdK«?
eK?0eK?eeK?
eK?$fK?@fK","/img_var1.E01/vol_vol2/Program Files/Common Files/Microsoft Shared/PROOF/3082/MSGR3ES.DLL","2006-08-02 01:50:00 MSD","2008-10-28 19:45:10 MSK","2008-10-28 19:45:10 MSK","2006-08-02 01:50:00 MSD",1100560,Allocated,Allocated,unknown,"a9bd4f473f16ce44a83b44b30404e9d3","ea0e29dec60a47e3c0357a1246f45a947243c9471b1eee910b4cbedb8bdaa2db",application/x-msdownload,dll
msdasc.chm,"the Platform «SDK« to find the MDAC «SDK«, which contains","/img_var1.E01/vol_vol2/WINDOWS/Help/msdasc.chm","2004-08-04 16:00:00 MSD","2008-10-20 18:31:08 MSD","2008-10-20 18:26:45 MSD","2004-08-04 16:00:00 MSD",15723,Allocated,Allocated,unknown,"c7ecf4faa5b68bbbc2f6f69469d3c04e","d0ac40ab3837e7c64c95889944b6ab5721db25215c4df555bf68c415e379dade","application/vnd.ms-htmlhelp",chm
msncli.exe,"Rs$'
n.i>
a72*}
w}\(
ikd-
=«sdk«
Y&_E
cKus
?y(u4""
-0|<j
JNE'\1","/img_var1.E01/vol_vol2/WINDOWS/SoftwareDistribution/Download/cf8ec753e88561d2ddb53e183dc05c3e/msncli.exe","2004-08-04 16:00:00 MSD","2008-10-21 03:43:17 MSD","2008-10-21 04:54:17 MSD","2008-10-21 03:27:10 MSD",11053008,Allocated,Allocated,unknown,"c010ec2378bfbed7d652cf9982a34ae2","e7937ce7374fc1f198b56e75b8bb6344a4776d33d89b8a1aea2ab94506c2e258",application/x-msdownload,exe
msmqocm.dll,"for the MSMQ 1.0 «SDK« debug folder:
\«sdk«\debug
Setting","/img_var1.E01/vol_vol2/WINDOWS/$NtServicePackUninstall$/msmqocm.dll","2004-08-04 16:00:00 MSD","2008-10-21 04:40:12 MSD","2008-10-21 04:40:12 MSD","2008-10-21 04:40:12 MSD",169984,Allocated,Allocated,unknown,"4166d20a79f72ee389a2ffc4eb354f01","ff2f115d1b9d707324e75e5a9cf2a883adc21ae61bf54466153eb1f052b15c18",application/x-msdownload,dll
MSHY3ES.LEX,"ORWQ5M
""#4X
E&IV12V2V;[:3S
«SDK«-@""G
AA'HER""
;\G']^X4[,*Y_","/img_var1.E01/vol_vol2/Program Files/Common Files/Microsoft Shared/PROOF/MSHY3ES.LEX","2005-12-07 14:00:00 MSK","2008-10-28 19:45:12 MSK","2008-10-28 19:45:12 MSK","2005-12-07 14:00:00 MSK",1614775,Allocated,Allocated,unknown,"80afb5bc96f9ac6078f7de96d5ff9ca7","09bf601429df4f754a9826a13d0769f0f4b1ac6554c0e7c6ba2883dc7b6def2c",application/octet-stream,lex
